epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,1.3492239581214056,0.4708333333333333,1.5119199302461412,0.4361111111111111
2,1.0018827822473315,0.6611111111111111,1.391147420141432,0.3888888888888889
3,0.7894639352957408,0.7256944444444444,1.1458031707339817,0.5416666666666666
4,0.595582142803404,0.8020833333333334,0.8845450182755789,0.6527777777777778
5,0.4424139930142297,0.8645833333333334,0.7729136175579495,0.7638888888888888
6,0.38495283358626897,0.8763888888888889,0.6163810590902964,0.7333333333333333
7,0.32251885963810817,0.9013888888888889,0.5474960928161939,0.8333333333333334
8,0.31194588326745565,0.8986111111111111,0.5719437102476755,0.8111111111111111
9,0.2974990977181329,0.8993055555555556,0.5640579173962276,0.8083333333333333
10,0.2631166675024562,0.9138888888888889,0.4270548552274704,0.8527777777777777
11,0.20388302273220485,0.9368055555555556,0.35387590560648174,0.8694444444444445
12,0.18923668306734825,0.9493055555555555,0.4177987260950936,0.8611111111111112
13,0.23340997298558552,0.9236111111111112,0.45814346828394464,0.8472222222222222
14,0.17882463393939865,0.9506944444444444,0.3065141351686584,0.8861111111111111
15,0.18755442425608634,0.9416666666666667,0.3660980641634928,0.875
