epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,1.7063180049260458,0.3284722222222222,1.5449074665705362,0.5
2,1.4042676435576544,0.7034722222222223,1.3041058275434705,0.7972222222222223
3,1.1795095284779866,0.8458333333333333,1.1230085068278843,0.8722222222222222
4,1.004197601477305,0.9152777777777777,0.9858068850305345,0.9027777777777778
5,0.8582816031244066,0.9395833333333333,0.8788914302984874,0.9027777777777778
6,0.7498593846956889,0.9541666666666667,0.7949782821867201,0.9111111111111111
7,0.6637207445171144,0.9506944444444444,0.728838915295071,0.8888888888888888
8,0.5943338735236062,0.9583333333333334,0.67689917617374,0.8888888888888888
9,0.5310413622193866,0.9694444444444444,0.6289375758833355,0.9083333333333333
10,0.478673094842169,0.9652777777777778,0.5884963181283739,0.9138888888888889
