model,best_epoch,best_validation_accuracy,final_epoch_validation_accuracy,selected_checkpoint_validation_accuracy,selected_checkpoint_macro_f1,notes
Baseline CNN,14,0.8861111111111111,0.875,0.8861111111111111,0.8841411682200965,Custom CNN trained from scratch
ResNet18 Transfer Learning,10,0.9138888888888889,0.9138888888888889,0.9138888888888889,0.9081148916120986,Pretrained backbone weights frozen
